"","Customer.ID","VAR_REP","MONTH","YEAR","BASKET_PRICE_MEAN_M-6","BASKET_PRICE_MIN_M-6","BASKET_PRICE_MAX_M-6","NB_BASKETS_M-6","QTY_TOTAL_PER_CMD_MOY_M-6","QTY_TOTAL_PER_CMD_MIN_M-6","QTY_TOTAL_PER_CMD_MAX_M-6","NB_PROD_PER_CMD_MOY_M-6","NB_PROD_PER_CMD_MIN_M-6","NB_PROD_PER_CMD_MAX_M-6","FREQ_ACHAT_M-6","NB_SKU_M-6","ITEM_PRICE_MAX_M-6","EXPENSES_M-6","NB_CANCELLED_M-6","EXPENSES_CANCELLED_M-6","PCT_EXP_CANCELLED_M-6","NB_CMD_MOST_FREQ_M-6","NB_SKU_FREQ_M-6","PCT_SKU_FREQ_M-6","EXPENSES_FREQ_M-6","PCT_EXP_FREQ_M-6"
"1",12346,0,12,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",12347,1,12,2011,753.916666666667,382.52,1294.32,3,383,196,676,29,18,47,0.333333333333333,61,106.2,2261.75,0,0,0,3,21,0.344262295081967,1341.77,0.593244169337902
"3",12348,0,12,2011,310,310,310,1,217,217,217,3,3,3,1,3,150,310,0,0,0,1,0,0,0,0
"4",12349,0,12,2011,1757.55,1757.55,1757.55,1,631,631,631,73,73,73,1,73,300,1757.55,0,0,0,1,0,0,0,0
"5",12350,0,12,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",12351,0,12,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",12352,0,12,2011,314.743333333333,266.25,366.25,3,94,52,127,15.6666666666667,14,18,0.333333333333333,39,80,944.23,0,0,0,3,7,0.179487179487179,411.1,0.435381210086526
"8",12353,0,12,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",12354,0,12,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",12355,0,12,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",12356,0,12,2011,58.35,58.35,58.35,1,5,5,5,2,2,2,1,2,32.85,58.35,0,0,0,1,0,0,0,0
"12",12357,0,12,2011,6207.67,6207.67,6207.67,1,2708,2708,2708,131,131,131,1,131,237.6,6207.67,0,0,0,1,0,0,0,0
